task_id,task_name,language,repo,model,provider,difficulty,resolved,model_attempt_n,model_attempts_total,pass_n,task_attempts_total,passed_on_attempt,prior_failed_attempts,turns,wall_seconds,agent_span_s,model_time_s,tool_time_s,model_time_pct,post_agent_hang_s,cost_usd,llm_calls,patch_bytes,f2p,p2p,timestamp_utc
sveltejs__svelte-4332,:global(...) .child selector is given svelte- suffix if there is a variable class name in the html,JavaScript,sveltejs/svelte,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,2,,0,87,2860,2858.31,2526.3,121.91,88.4,1.69,6.568209000000001,87,230067,0/1,2692/2692,20260812T155045Z
pytest-dev__pytest-11148,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,45,605,602.67,504.9,19.85,83.8,2.33,1.58310675,45,5317,2/2,128/129,20260820T043615Z
prettier__prettier-5015,Pipe operator with comment problem,JavaScript,prettier/prettier,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,2,,0,62,660,629.61,376.11,99.22,59.7,30.39,1.5792467499999996,62,4482,0/1,0/0,20260811T114052Z
sympy__sympy-17655,,,sympy/sympy,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,1,1,0,49,420,416.46,310.67,21.39,74.6,3.54,1.09651275,49,2489,2/2,9/9,20260820T042404Z
prettier__prettier-3382,Typescript: decorator + readonly + comment leads to un-compilable code,JavaScript,prettier/prettier,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,1,1,0,52,330,328.43,191.01,42.22,58.2,1.57,0.966981,52,2066,1/1,1/1,20260811T104905Z
pylint-dev__pylint-7080,,,pylint-dev/pylint,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,34,298,290.91,209.23,14.4,71.9,7.09,0.8985422500000001,34,2165,0/1,106/120,20260819T165645Z
django__django-12113,,,django/django,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,1,1,0,23,210,207.4,158.45,4.63,76.4,2.6,0.49578349999999993,23,1421,1/1,0/0,20260819T155229Z
sympy__sympy-16988,,,sympy/sympy,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,1,1,0,37,279,252.16,127.38,55.73,50.5,26.84,0.42538825,37,2003417,2/2,72/72,20260819T155911Z
sveltejs__svelte-1310,Spread properties cause CSS to be DCE'd incorrectly,JavaScript,sveltejs/svelte,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,1,1,0,32,197,194.66,53.57,77.33,27.5,2.34,0.41741649999999997,32,221118,1/1,1754/1754,20260811T092815Z
keras-team__keras-19300,,Python,keras-team/keras,anthropic/claude-opus-4.8,openrouter,unrated,ERROR,1,1,1,1,,0,14,116,111.05,60.0,3.14,54.0,4.95,0.3452855,14,1266,0/1,0/201,20260806T132707Z
sveltejs__svelte-3141,:not(...) styles are broken,JavaScript,sveltejs/svelte,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,3,1,0,23,207,204.13,65.27,99.91,32.0,2.87,0.3404477500000001,23,285122,1/1,50/50,20260811T130734Z
prettier__prettier-12930,Syntax error after formatting when using computed key in TypeScript enum,JavaScript,prettier/prettier,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,2,1,0,32,203,198.96,50.99,75.98,25.6,4.04,0.33037749999999994,32,2949,1/1,5/5,20260812T104945Z
serverless__serverless-4794,AWS deploy fails with empty error message if S3.headObject responds with 403,JavaScript,serverless/serverless,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,2,1,0,12,69,67.62,39.09,0.45,57.8,1.38,0.24534299999999998,12,3461,1/1,81/81,20260812T145814Z
matplotlib__matplotlib-23563,,,matplotlib/matplotlib,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,15,80,75.6,43.71,1.96,57.8,4.4,0.18773225000000002,15,1457,0/1,126/136,20260819T163344Z
pytest-dev__pytest-7168,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,13,48,46.15,21.71,1.62,47.0,1.85,0.16471675000000002,13,1619,11/11,0/0,20260820T045053Z
serverless__serverless-6749,FetchError: network timeout on tracking.serverlessteam.com,JavaScript,serverless/serverless,anthropic/claude-opus-4.8,openrouter,unrated,not verified,1,1,2,2,,0,10,59,55.39,32.1,7.96,58.0,3.61,0.154385,10,605,,,20260808T154704Z
pytest-dev__pytest-11143,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,12,55,52.98,27.72,1.31,52.3,2.02,0.14839400000000003,12,900,1/1,102/114,20260820T082722Z
prettier__prettier-3405,1.9: Trailing comma not adding in code blocks in markdown,JavaScript,prettier/prettier,anthropic/claude-opus-4.8,openrouter,medium,yes,1,1,1,2,1,0,8,52,50.46,16.29,16.58,32.3,1.54,0.141594,8,480,1/1,0/0,20260811T110140Z
pydata__xarray-5131,,,pydata/xarray,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,15,50,47.84,21.89,1.06,45.8,2.16,0.12418049999999999,15,2431,10/10,24/24,20260820T044635Z
astropy__astropy-12907,,,astropy/astropy,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,10,54,50.11,19.06,3.36,38.0,3.89,0.12280149999999998,10,506,2/2,13/13,20260820T084004Z
sympy__sympy-17139,,,sympy/sympy,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,11,54,52.21,28.12,2.01,53.9,1.79,0.0977395,11,410,2/2,67/67,20260820T083644Z
astropy__astropy-6938,,,astropy/astropy,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,9,54,45.01,20.75,6.49,46.1,8.99,0.0828275,9,571,2/2,11/11,20260819T170059Z
langchain-ai__langchain-4646,PydanticOutputParser has high chance failing when completion contains new line,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,6,24,22.67,11.14,0.65,49.1,1.33,0.07360225000000001,6,608,1/1,1/1,20260811T072900Z
django__django-15400,,,django/django,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,5,19,16.43,6.53,0.17,39.7,2.57,0.04757725,5,537,2/2,62/62,20260820T083249Z
sveltejs__svelte-906,Attribute name only (no value) CSS selector throws if html attribute has a value.,JavaScript,sveltejs/svelte,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,4,17,14.73,6.8,0.15,46.1,2.27,0.0437315,4,559,1/1,1040/1040,20260812T100506Z
langchain-ai__langchain-6765,Recent tags change causes AttributeError: 'str' object has no attribute 'value' on initialize_agent call,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,3,11,8.55,3.37,0.03,39.4,2.45,0.038362749999999994,3,608,1/1,0/0,20260811T075134Z
langchain-ai__langchain-7653,SQLite LLM cache clear does not take effect,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,2,1,0,4,16,13.33,4.65,0.11,34.9,2.67,0.0371935,4,394,1/1,9/9,20260811T070723Z
django__django-14534,,,django/django,anthropic/claude-opus-4.8,openrouter,easy,yes,1,1,1,1,1,0,4,16,12.95,3.28,0.24,25.3,3.05,0.03545925,4,416,2/2,118/118,20260819T164831Z
langchain-ai__langchain-5584,Chroma.update_document bug,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,unrated,ERROR,1,1,1,1,,0,3,12,9.19,2.55,0.03,27.8,2.81,0.03536675,3,585,0/2,0/9,20260811T081139Z
django__django-15061,,,django/django,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,6,22,18.98,6.87,0.74,36.2,3.02,0.0319165,6,531,0/3,14/14,20260820T044057Z
pytest-dev__pytest-5227,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,1,1,,0,5,18,15.68,6.92,0.27,44.1,2.32,0.028548500000000004,5,858,3/3,31/34,20260820T044355Z
langchain-ai__langchain-4420,WhatsAppChatLoader doesn't work on chats exported from WhatsApp,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,hard,no,1,1,2,2,,1,1,3,0.72,0.02,0.0,3.3,2.28,0.0,1,0,0/1,0/0,20260813T082849Z
sympy__sympy-18057,,,sympy/sympy,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,1,1,0,90,582,579.41,220.95,119.27,38.1,2.59,1.1241581000000003,90,1824,1/1,98/98,20260819T132213Z
serverless__serverless-5602,Parent paths no longer working for package inclusions/exclusions,JavaScript,serverless/serverless,anthropic/claude-sonnet-5,openrouter,medium,yes,1,1,1,2,1,0,56,457,454.45,218.92,87.07,48.2,2.55,0.5036952000000001,56,4417,1/1,9/9,20260813T085328Z
prettier__prettier-8381,,JavaScript,prettier/prettier,anthropic/claude-sonnet-5,openrouter,hard,no,1,1,1,1,,0,67,4242,1396.65,133.87,1067.83,9.6,2845.35,0.4633373,67,4674,0/3,2/2,20260806T124151Z
