task_id,task_name,language,repo,model,provider,difficulty,model_attempt_n,model_attempts_total,pass_n,task_attempts_total,passed_on_attempt,prior_failed_attempts,turns,wall_seconds,agent_span_s,model_time_s,tool_time_s,model_time_pct,post_agent_hang_s,cost_usd,llm_calls,patch_bytes,f2p,p2p,timestamp_utc
sveltejs__svelte-4332,:global(...) .child selector is given svelte- suffix if there is a variable class name in the html,JavaScript,sveltejs/svelte,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,2,,0,87,2860,2858.31,2526.3,121.91,88.4,1.69,6.568209000000001,87,230067,0/1,2692/2692,20260812T155045Z
pytest-dev__pytest-11148,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,45,605,602.67,504.9,19.85,83.8,2.33,1.58310675,45,5317,2/2,128/129,20260820T043615Z
prettier__prettier-5015,Pipe operator with comment problem,JavaScript,prettier/prettier,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,2,,0,62,660,629.61,376.11,99.22,59.7,30.39,1.5792467499999996,62,4482,0/1,0/0,20260811T114052Z
pylint-dev__pylint-7080,,,pylint-dev/pylint,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,34,298,290.91,209.23,14.4,71.9,7.09,0.8985422500000001,34,2165,0/1,106/120,20260819T165645Z
matplotlib__matplotlib-23563,,,matplotlib/matplotlib,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,15,80,75.6,43.71,1.96,57.8,4.4,0.18773225000000002,15,1457,0/1,126/136,20260819T163344Z
pytest-dev__pytest-11143,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,12,55,52.98,27.72,1.31,52.3,2.02,0.14839400000000003,12,900,1/1,102/114,20260820T082722Z
django__django-15061,,,django/django,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,6,22,18.98,6.87,0.74,36.2,3.02,0.0319165,6,531,0/3,14/14,20260820T044057Z
pytest-dev__pytest-5227,,,pytest-dev/pytest,anthropic/claude-opus-4.8,openrouter,hard,1,1,1,1,,0,5,18,15.68,6.92,0.27,44.1,2.32,0.028548500000000004,5,858,3/3,31/34,20260820T044355Z
langchain-ai__langchain-4420,WhatsAppChatLoader doesn't work on chats exported from WhatsApp,Python,langchain-ai/langchain,anthropic/claude-opus-4.8,openrouter,hard,1,1,2,2,,1,1,3,0.72,0.02,0.0,3.3,2.28,0.0,1,0,0/1,0/0,20260813T082849Z
prettier__prettier-8381,,JavaScript,prettier/prettier,anthropic/claude-sonnet-5,openrouter,hard,1,1,1,1,,0,67,4242,1396.65,133.87,1067.83,9.6,2845.35,0.4633373,67,4674,0/3,2/2,20260806T124151Z
